"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2018,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
"Total, 16 years and over","155,761",46.9,78.0,12.3,6.3,17.3
,,,,,,
"Management, professional, and related occupations","62,436",51.5,79.4,9.6,8.5,9.7
"Management, business, and financial operations occupations","25,850",44.0,82.4,8.2,6.8,9.8
Management occupations,"18,263",40.0,83.9,7.6,5.9,10.3
Chief executives,"1,573",26.9,89.5,3.5,5.9,6.1
General and operations managers,"1,037",31.7,84.5,7.5,4.8,10.5
Legislators,18,–,–,–,–,–
Advertising and promotions managers,44,–,–,–,–,–
Marketing and sales managers,"1,083",47.6,85.8,6.7,5.4,9.7
Public relations and fundraising managers,69,72.8,85.8,10.7,3.1,3.1
Administrative services managers,161,34.2,85.4,7.4,3.0,13.0
Computer and information systems managers,623,27.0,77.0,5.8,14.3,6.6
Financial managers,"1,231",55.2,81.7,8.1,7.4,9.4
Compensation and benefits managers,23,–,–,–,–,–
Human resources managers,313,77.9,78.1,12.8,6.3,10.2
Training and development managers,58,48.6,86.3,10.1,0.0,15.5
Industrial production managers,264,22.0,85.7,6.3,6.0,12.5
Purchasing managers,219,45.3,85.3,9.0,4.0,10.7
"Transportation, storage, and distribution managers",303,16.0,84.9,7.2,4.4,13.7
"Farmers, ranchers, and other agricultural managers",991,25.8,96.1,0.9,1.4,5.1
Construction managers,"1,021",7.7,91.8,3.1,2.4,15.3
Education administrators,955,66.9,79.0,14.4,3.4,10.5
Architectural and engineering managers,156,11.5,84.5,5.0,9.9,4.6
Food service managers,"1,273",49.2,75.7,10.7,10.0,18.5
Funeral service managers,3,–,–,–,–,–
Gaming managers,28,–,–,–,–,–
Lodging managers,153,56.0,76.2,11.1,10.2,11.5
Medical and health services managers,639,72.0,80.9,11.5,5.0,9.0
Natural sciences managers,9,–,–,–,–,–
Postmasters and mail superintendents,24,–,–,–,–,–
"Property, real estate, and community association managers",717,49.7,85.5,7.3,4.6,13.6
Social and community service managers,437,69.1,78.4,13.8,4.0,7.6
Emergency management directors,10,–,–,–,–,–
"Managers, all other","4,827",35.4,83.2,7.8,6.5,9.9
Business and financial operations occupations,"7,587",53.8,78.8,9.8,9.1,8.7
"Agents and business managers of artists, performers, and athletes",54,53.8,79.3,7.5,11.0,12.2
"Buyers and purchasing agents, farm products",12,–,–,–,–,–
"Wholesale and retail buyers, except farm products",193,50.7,80.7,10.7,5.7,11.1
"Purchasing agents, except wholesale, retail, and farm products",244,46.7,84.3,8.0,5.0,7.6
"Claims adjusters, appraisers, examiners, and investigators",344,57.4,74.9,19.1,3.7,10.9
Compliance officers,281,53.7,82.3,11.3,5.4,6.9
Cost estimators,117,14.1,93.3,1.9,4.0,10.5
Human resources workers,664,70.7,79.2,10.5,7.0,13.2
"Compensation, benefits, and job analysis specialists",48,–,–,–,–,–
Training and development specialists,120,54.4,76.2,15.3,2.9,8.7
Logisticians,128,37.3,75.7,12.1,8.1,10.1
Management analysts,944,41.3,77.6,8.3,12.3,6.5
"Meeting, convention, and event planners",126,76.3,77.7,8.6,5.3,10.5
Fundraisers,96,69.3,86.9,7.7,3.2,5.4
Market research analysts and marketing specialists,355,60.2,81.8,5.8,11.6,11.4
"Business operations specialists, all other",236,59.3,70.6,15.8,9.0,9.4
Accountants and auditors,"1,929",60.6,75.8,9.3,12.7,7.6
Appraisers and assessors of real estate,84,45.3,83.9,10.7,4.0,4.2
Budget analysts,51,62.2,72.6,11.2,14.5,13.8
Credit analysts,26,–,–,–,–,–
Financial analysts,307,40.7,76.1,8.1,14.1,5.5
Personal financial advisors,537,33.5,86.3,5.0,6.9,6.6
Insurance underwriters,119,59.7,80.7,13.7,5.3,6.2
Financial examiners,13,–,–,–,–,–
Credit counselors and loan officers,350,54.1,85.5,7.6,4.3,13.0
"Tax examiners and collectors, and revenue agents",47,–,–,–,–,–
Tax preparers,113,56.8,76.1,16.7,5.1,13.1
"Financial specialists, all other",48,–,–,–,–,–
