"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,,
[Numbers in thousands],,,,,,,,
,,,,,,,,
Occupation,2021,,,,,,,
,"Total
employed",Percent of total employed,,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",,
,,,,,,,,
"Total, 16 years and over","152,581",47.0,77.5,12.3,6.6,18.0,,
,,,,,,,,
"Management,  professional, and related occupations","64,744",52.0,78.3,9.8,9.0,10.4,,
"Management, business, and financial operations occupations","27,864",45.3,80.8,9.2,7.1,10.8,,
Management occupations,"18,986",40.9,82.2,8.6,6.5,11.1,,
Chief executives,"1,664",29.1,85.7,5.9,6.8,7.4,,
General and operations managers,"1,085",36.4,82.7,9.3,4.6,10.3,,
Legislators,21,–,–,–,–,–,,
Advertising and promotions managers,72,42.4,78.7,12.1,5.2,6.2,,
Marketing managers,576,61.4,83.5,6.2,7.3,8.3,,
Sales managers,537,30.6,86.4,5.9,5.0,10.6,,
Public relations and fundraising managers,100,68.0,89.3,3.5,4.4,7.2,,
Administrative services managers,60,79.0,84.0,13.3,1.5,9.9,,
Facilities managers,146,21.3,90.5,7.4,0.2,14.5,,
Computer and information systems managers,715,26.7,72.4,7.2,17.8,7.3,,
Financial managers,"1,307",54.6,78.5,9.0,9.0,10.4,,
Compensation and benefits managers,16,–,–,–,–,–,,
Human resources managers,273,80.8,78.9,12.3,6.4,12.5,,
Training and development managers,55,59.9,90.9,4.1,3.4,12.0,,
Industrial production managers,256,24.1,82.8,5.7,9.3,10.9,,
Purchasing managers,232,45.9,82.3,8.5,6.7,8.2,,
"Transportation, storage, and distribution managers",314,22.4,82.5,10.7,3.7,16.3,,
"Farmers, ranchers, and other agricultural managers",875,26.3,94.8,1.5,0.9,6.0,,
Construction managers,999,8.6,90.8,5.1,1.7,16.3,,
Education and childcare administrators,956,65.5,79.8,14.0,3.3,9.7,,
Architectural and engineering managers,178,11.5,79.9,4.5,15.0,7.2,,
Food service managers,"1,133",48.5,74.7,11.0,10.4,19.5,,
Funeral home managers,9,–,–,–,–,–,,
Entertainment and recreation managers,43,–,–,–,–,–,,
Lodging managers,116,47.6,75.1,10.3,12.5,14.1,,
Medical and health services managers,791,75.0,76.1,14.1,7.0,10.5,,
Natural sciences managers,21,–,–,–,–,–,,
Postmasters and mail superintendents,16,–,–,–,–,–,,
"Property, real estate, and community association managers",780,50.7,83.2,10.3,4.0,11.4,,
Social and community service managers,391,68.6,74.6,17.9,4.0,13.7,,
Emergency management directors,13,–,–,–,–,–,,
"Personal service managers, all other",1,–,–,–,–,–,,
"Managers, all other","5,235",36.4,82.1,8.6,6.5,11.5,,
Business and financial operations occupations,"8,878",54.8,78.0,10.5,8.6,10.3,,
"Agents and business managers of artists, performers, and athletes",40,–,–,–,–,–,,
"Buyers and purchasing agents, farm products",11,–,–,–,–,–,,
"Wholesale and retail buyers, except farm products",159,55.1,82.3,9.4,4.2,15.9,,
"Purchasing agents, except wholesale, retail, and farm products",223,62.2,81.0,10.3,5.3,13.4,,
"Claims adjusters, appraisers, examiners, and investigators",330,58.2,74.4,16.7,4.3,14.6,,
Compliance officers,291,53.2,76.2,14.4,4.2,13.2,,
Cost estimators,127,15.5,87.9,3.8,4.8,10.8,,
Human resources workers,871,75.2,76.6,13.8,6.2,12.4,,
"Compensation, benefits, and job analysis specialists",67,71.2,70.6,19.6,7.1,12.7,,
Training and development specialists,166,52.9,77.4,14.1,4.2,10.9,,
Logisticians,132,39.3,80.3,13.4,4.9,10.2,,
Project management specialists,769,42.9,80.4,8.0,9.6,8.0,,
Management analysts,"1,001",45.5,79.2,8.0,10.8,7.2,,
"Meeting, convention, and event planners",116,82.1,83.4,9.9,3.6,6.1,,
Fundraisers,93,73.3,89.0,3.7,7.2,5.2,,
Market research analysts and marketing specialists,400,63.6,83.1,4.4,9.7,10.7,,
"Business operations specialists, all other",584,59.2,74.1,13.5,8.6,10.7,,
Accountants and auditors,"1,630",62.0,76.3,9.8,11.8,9.8,,
Property appraisers and assessors,80,30.4,97.7,1.1,1.0,4.3,,
Budget analysts,61,55.6,66.0,17.7,5.7,10.7,,
Credit analysts,38,–,–,–,–,–,,
Financial and investment analysts,343,40.2,64.4,13.1,20.7,10.7,,
Personal financial advisors,535,33.8,82.2,7.3,7.5,7.7,,
Insurance underwriters,128,61.4,76.8,12.0,7.0,9.1,,
Financial examiners,16,–,–,–,–,–,,
Credit counselors and loan officers,440,52.2,78.7,12.8,3.7,12.0,,
"Tax examiners and collectors, and revenue agents",63,54.8,83.2,12.8,3.2,8.7,,
Tax preparers,101,54.2,76.1,14.2,6.2,17.7,,
Other financial specialists,61,65.2,81.9,7.4,6.4,14.2,,
Professional and related occupations,"36,880",56.9,76.4,10.3,10.4,10.0,,
Computer and mathematical occupations,"5,688",26.2,65.4,8.5,23.3,8.3,,
Computer and information research scientists,41,–,–,–,–,–,,
Computer systems analysts,464,37.5,70.0,11.3,16.0,11.0,,
Information security analysts,152,18.2,76.7,11.8,9.0,7.4,,
Computer programmers,444,19.5,68.4,6.0,22.0,6.4,,
Software developers,"1,932",19.7,54.7,5.4,37.1,5.8,,
Software quality assurance analysts and testers,74,46.5,55.9,14.1,27.6,5.7,,
Web developers,81,38.7,84.7,4.6,7.5,8.6,,
Web and digital interface designers,64,51.1,87.4,5.0,6.6,9.6,,
Computer support specialists,660,23.8,72.1,10.5,14.5,11.7,,
Database administrators and architects,111,35.0,73.1,5.1,20.0,6.3,,
Network and computer systems administrators,212,17.2,72.6,10.4,12.9,8.1,,
Computer network architects,102,11.8,72.0,6.5,18.3,9.1,,
"Computer occupations, all other",889,27.2,70.4,11.9,15.0,11.5,,
Actuaries,29,–,–,–,–,–,,
Mathematicians,0,–,–,–,–,–,,
Operations research analysts,141,51.0,71.0,14.9,10.7,10.1,,
Statisticians,45,–,–,–,–,–,,
Other mathematical science occupations,245,49.2,64.1,12.3,21.6,7.9,,
Architecture and engineering occupations,"3,235",17.4,77.0,5.8,14.6,9.9,,
"Architects, except landscape and naval",212,31.6,79.9,4.6,13.3,6.5,,
Landscape architects,27,–,–,–,–,–,,
"Surveyors, cartographers, and photogrammetrists",41,–,–,–,–,–,,
Aerospace engineers,129,14.3,76.0,7.9,14.7,13.5,,
Agricultural engineers,8,–,–,–,–,–,,
Bioengineers and biomedical engineers,15,–,–,–,–,–,,
Chemical engineers,75,12.8,84.5,1.3,13.0,9.3,,
Civil engineers,431,17.4,78.8,6.6,12.8,10.7,,
Computer hardware engineers,88,13.4,56.2,5.9,36.4,7.2,,
Electrical and electronics engineers,299,7.1,74.6,4.4,19.1,10.2,,
Environmental engineers,33,–,–,–,–,–,,
"Industrial engineers, including health and safety",216,26.0,75.8,5.1,16.2,5.1,,
Marine engineers and naval architects,12,–,–,–,–,–,,
Materials engineers,43,–,–,–,–,–,,
Mechanical engineers,354,9.4,78.0,4.6,13.7,8.9,,
"Mining and geological engineers, including mining safety engineers",8,–,–,–,–,–,,
Nuclear engineers,11,–,–,–,–,–,,
Petroleum engineers,16,–,–,–,–,–,,
"Engineers, all other",666,16.3,71.9,5.1,19.9,9.6,,
Architectural and civil drafters,32,–,–,–,–,–,,
Other drafters,93,24.3,89.5,2.9,6.7,10.8,,
Electrical and electronic engineering technologists and technicians,74,10.9,75.2,11.4,8.5,9.4,,
"Other engineering technologists and technicians, except drafters",293,21.3,81.5,9.6,5.3,14.9,,
Surveying and mapping technicians,57,12.6,88.7,6.0,2.1,17.3,,
"Life, physical, and social science occupations","1,640",47.4,74.6,7.4,15.2,8.3,,
Agricultural and food scientists,32,–,–,–,–,–,,
Biological scientists,94,48.1,71.1,12.1,14.4,2.4,,
Conservation scientists and foresters,22,–,–,–,–,–,,
Medical scientists,121,49.6,48.0,7.2,43.1,4.5,,
"Life scientists, all other",8,–,–,–,–,–,,
Astronomers and physicists,22,–,–,–,–,–,,
Atmospheric and space scientists,11,–,–,–,–,–,,
Chemists and materials scientists,94,32.1,70.2,8.0,21.5,6.1,,
"Environmental scientists and specialists, including health",40,–,–,–,–,–,,
"Geoscientists and hydrologists, except geographers",42,–,–,–,–,–,,
"Physical scientists, all other",370,41.2,63.8,6.9,27.3,6.5,,
Economists,21,–,–,–,–,–,,
Survey researchers,1,–,–,–,–,–,,
Clinical and counseling psychologists,13,–,–,–,–,–,,
School psychologists,58,90.4,92.4,7.6,0.0,19.4,,
Other psychologists,149,74.9,84.6,5.6,5.4,6.4,,
Sociologists,2,–,–,–,–,–,,
Urban and regional planners,28,–,–,–,–,–,,
Miscellaneous social scientists and related workers,54,53.5,84.8,5.2,2.2,5.4,,
Agricultural and food science technicians,30,–,–,–,–,–,,
Biological technicians,18,–,–,–,–,–,,
Chemical technicians,48,–,–,–,–,–,,
Environmental science and geoscience technicians,15,–,–,–,–,–,,
Nuclear technicians,2,–,–,–,–,–,,
Social science research assistants,6,–,–,–,–,–,,
"Other life, physical, and social science technicians",269,47.3,78.9,8.7,10.6,10.9,,
Occupational health and safety specialists and technicians,72,30.9,75.3,13.0,2.5,10.4,,
Community and social service occupations,"2,777",67.5,72.9,19.7,3.8,12.5,,
Substance abuse and behavioral disorder counselors,121,69.1,70.4,25.9,1.3,11.6,,
"Educational, guidance, and career counselors and advisors",362,76.5,74.3,18.9,2.7,15.8,,
Marriage and family therapists,44,–,–,–,–,–,,
Mental health counselors,212,75.6,76.3,17.6,2.0,10.0,,
Rehabilitation counselors,11,–,–,–,–,–,,
"Counselors, all other",250,67.1,65.0,27.6,4.4,11.8,,
"Child, family, and school social workers",54,86.8,63.4,30.7,0.9,18.7,,
Healthcare social workers,77,73.4,67.4,27.5,1.2,10.8,,
Mental health and substance abuse social workers,15,–,–,–,–,–,,
"Social workers, all other",681,83.6,65.4,25.8,4.6,15.2,,
Probation officers and correctional treatment specialists,88,50.5,76.6,17.4,1.3,12.2,,
Social and human service assistants,194,81.2,75.2,15.1,5.5,13.2,,
Other community and social service specialists,100,82.5,61.8,24.8,6.1,16.2,,
Clergy,404,16.2,84.4,8.7,4.7,8.0,,
"Directors, religious activities and education",67,53.7,94.2,2.7,1.8,10.0,,
"Religious workers, all other",96,70.9,85.2,6.6,7.3,2.9,,
Legal occupations,"1,805",53.5,84.0,8.1,4.8,10.4,,
Lawyers,"1,085",37.9,87.9,5.4,4.7,6.9,,
Judicial law clerks,24,–,–,–,–,–,,
"Judges, magistrates, and other judicial workers",77,58.0,71.3,22.0,2.6,10.1,,
Paralegals and legal assistants,431,84.8,78.1,11.2,5.1,20.6,,
"Title examiners, abstractors, and searchers",107,72.1,82.1,9.3,6.5,5.4,,
"Legal support workers, all other",80,61.9,75.0,14.5,5.3,9.4,,
"Education, training, and library occupations","8,946",73.7,81.5,9.9,5.6,10.8,,
Postsecondary teachers,"1,154",51.2,76.7,7.8,13.1,7.1,,
Preschool and kindergarten teachers,613,96.8,81.0,12.7,3.6,13.4,,
Elementary and middle school teachers,"3,260",79.2,83.8,10.0,3.4,10.7,,
Secondary school teachers,940,59.5,86.4,7.2,3.6,8.3,,
Special education teachers,362,82.8,85.1,9.6,2.7,6.4,,
Tutors,168,70.5,75.6,6.0,15.6,11.7,,
Other teachers and instructors,737,65.3,79.1,13.3,4.3,11.0,,
"Archivists, curators, and museum technicians",62,61.4,94.4,1.6,1.6,10.6,,
Librarians and media collections specialists,158,79.9,86.7,7.1,3.7,3.7,,
Library technicians,38,–,–,–,–,–,,
Teaching assistants,"1,309",81.0,76.3,12.0,7.4,16.6,,
Other educational instruction and library workers,145,78.9,83.4,10.7,4.3,11.3,,
"Arts, design, entertainment, sports, and media occupations","3,151",50.0,82.9,8.2,5.7,11.1,,
Artists and related workers,286,54.2,87.3,4.9,4.2,13.3,,
Commercial and industrial designers,11,–,–,–,–,–,,
Fashion designers,33,–,–,–,–,–,,
Floral designers,50,76.8,77.0,11.8,3.1,29.7,,
Graphic designers,271,59.9,85.5,6.4,5.3,10.7,,
Interior designers,123,83.8,88.8,3.0,6.6,4.1,,
Merchandise displayers and window trimmers,27,–,–,–,–,–,,
Other designers,389,41.5,81.7,3.5,11.6,6.8,,
Actors,45,–,–,–,–,–,,
Producers and directors,182,39.6,86.9,6.8,4.6,11.1,,
Athletes and sports competitors,37,–,–,–,–,–,,
Coaches and scouts,235,44.3,84.4,10.9,3.5,11.7,,
"Umpires, referees, and other sports officials",17,–,–,–,–,–,,
Dancers and choreographers,11,–,–,–,–,–,,
Music directors and composers,52,29.8,71.8,19.2,3.5,4.8,,
Musicians and singers,127,24.0,77.2,14.2,2.8,11.2,,
"Disc jockeys, except radio",15,–,–,–,–,–,,
"Entertainers and performers, sports and related workers, all other",43,–,–,–,–,–,,
Broadcast announcers and radio disc jockeys,18,–,–,–,–,–,,
"News analysts, reporters, and journalists",79,55.3,76.9,12.2,8.5,3.1,,
Public relations specialists,122,59.1,83.7,8.9,4.5,12.1,,
Editors,105,66.7,88.7,4.0,4.8,3.2,,
Technical writers,71,54.4,86.0,2.8,7.2,9.7,,
Writers and authors,261,63.7,81.7,11.4,4.8,3.7,,
Interpreters and translators,93,73.4,72.2,7.9,14.1,38.7,,
Court reporters and simultaneous captioners,28,–,–,–,–,–,,
"Media and communication workers, all other",30,–,–,–,–,–,,
"Broadcast, sound, and lighting technicians",87,11.2,87.7,11.7,0.4,9.6,,
Photographers,192,49.3,82.7,6.7,5.1,14.4,,
"Television, video, and film camera operators and editors",108,25.3,80.8,11.2,5.4,13.6,,
"Media and communication equipment workers, all other",1,–,–,–,–,–,,
Healthcare practitioners and technical occupations,"9,639",74.3,75.6,12.0,9.5,9.4,,
Chiropractors,59,24.2,87.0,2.6,9.0,7.8,,
Dentists,167,38.7,73.1,4.5,19.6,6.0,,
Dietitians and nutritionists,117,89.6,83.0,13.3,3.1,14.1,,
Optometrists,37,–,–,–,–,–,,
Pharmacists,352,57.8,70.3,7.9,19.8,6.0,,
Emergency medicine physicians,24,–,–,–,–,–,,
Radiologists,26,–,–,–,–,–,,
Other physicians,921,39.7,66.1,8.1,22.9,5.8,,
Surgeons,59,27.7,89.4,4.6,5.6,8.6,,
Physician assistants,165,64.4,77.1,8.6,9.8,9.2,,
Podiatrists,8,–,–,–,–,–,,
Audiologists,17,–,–,–,–,–,,
Occupational therapists,135,84.9,87.9,4.1,6.8,4.2,,
Physical therapists,273,66.9,81.0,5.4,12.6,5.3,,
Radiation therapists,15,–,–,–,–,–,,
Recreational therapists,18,–,–,–,–,–,,
Respiratory therapists,117,71.4,71.1,16.6,10.6,7.4,,
Speech-language pathologists,187,95.1,93.7,4.3,1.3,5.1,,
Exercise physiologists,6,–,–,–,–,–,,
"Therapists, all other",242,87.1,78.7,14.0,5.9,9.7,,
Veterinarians,104,64.2,93.3,1.2,5.6,4.7,,
Registered nurses,"3,201",86.7,74.9,13.3,8.6,8.8,,
Nurse anesthetists,35,–,–,–,–,–,,
Nurse midwives,8,–,–,–,–,–,,
Nurse practitioners,237,87.4,85.6,7.0,3.9,5.5,,
Acupuncturists,24,–,–,–,–,–,,
"Healthcare diagnosing or treating practitioners, all other",13,–,–,–,–,–,,
Clinical laboratory technologists and technicians,369,68.8,70.3,17.4,9.2,15.6,,
Dental hygienists,207,95.1,89.9,3.3,5.3,10.7,,
Cardiovascular technologists and technicians,61,64.2,72.6,12.3,7.4,12.7,,
Diagnostic medical sonographers,88,85.5,83.6,3.4,9.0,6.6,,
Radiologic technologists and technicians,226,72.4,85.2,8.7,5.0,13.4,,
Magnetic resonance imaging technologists,47,–,–,–,–,–,,
Nuclear medicine technologists and medical dosimetrists,39,–,–,–,–,–,,
Emergency medical technicians,145,35.8,80.8,9.5,4.5,14.3,,
Paramedics,96,31.1,94.7,3.4,1.7,8.0,,
Pharmacy technicians,342,78.4,69.9,18.3,8.6,17.2,,
Psychiatric technicians,73,73.5,60.9,26.0,1.1,10.2,,
Surgical technologists,113,77.8,74.1,19.1,3.5,14.4,,
Veterinary technologists and technicians,129,89.8,88.5,3.6,2.3,15.3,,
Dietetic technicians and ophthalmic medical technicians,66,82.6,70.9,25.1,3.2,11.6,,
Licensed practical and licensed vocational nurses,533,91.3,66.5,27.6,2.7,13.7,,
Medical records specialists,207,88.8,76.0,13.7,6.4,9.1,,
"Opticians, dispensing",50,74.2,84.8,6.9,3.5,28.3,,
Miscellaneous health technologists and technicians,177,64.3,65.9,20.7,10.5,16.1,,
Other healthcare practitioners and technical occupations,105,73.2,86.7,7.4,3.5,6.2,,
,,,,,,,,
Service occupations,"24,403",57.7,72.8,16.5,5.9,25.7,,
Healthcare support occupations,"4,887",85.1,64.5,24.5,6.8,20.9,,
Home health aides,570,87.0,56.3,32.0,8.9,25.9,,
Personal care aides,"1,411",80.4,61.6,24.9,8.5,21.5,,
Nursing assistants,"1,248",88.9,58.3,33.2,4.8,14.8,,
Orderlies and psychiatric aides,55,52.9,60.2,32.3,2.7,16.9,,
Occupational therapy assistants and aides,41,–,–,–,–,–,,
Physical therapist assistants and aides,74,70.7,80.6,9.5,4.7,8.6,,
Massage therapists,166,83.5,68.0,11.7,10.8,12.4,,
Dental assistants,323,92.0,79.7,6.9,8.2,30.4,,
Medical assistants,561,91.1,74.7,18.0,5.0,29.8,,
Medical transcriptionists,45,–,–,–,–,–,,
Pharmacy aides,35,–,–,–,–,–,,
Veterinary assistants and laboratory animal caretakers,78,84.1,89.0,4.1,2.4,13.8,,
Phlebotomists,114,90.6,68.1,22.3,5.3,25.1,,
Other healthcare support workers,164,75.7,64.7,26.6,3.8,17.0,,
Protective service occupations,"2,987",23.8,72.5,20.3,2.7,14.9,,
First-line supervisors of correctional officers,38,–,–,–,–,–,,
First-line supervisors of police and detectives,92,15.8,82.1,13.4,0.7,8.9,,
First-line supervisors of firefighting and prevention workers,44,–,–,–,–,–,,
First-line supervisors of security workers,75,21.5,68.5,22.9,3.7,15.0,,
"First-line supervisors of protective service workers, all other",5,–,–,–,–,–,,
Firefighters,294,5.1,84.3,8.9,2.6,11.0,,
Fire inspectors,30,–,–,–,–,–,,
Bailiffs,21,–,–,–,–,–,,
Correctional officers and jailers,297,30.4,67.1,26.7,2.2,14.2,,
Detectives and criminal investigators,130,27.3,77.7,18.1,3.6,12.3,,
Fish and game wardens,6,–,–,–,–,–,,
Parking enforcement workers,15,–,–,–,–,–,,
Police officers,753,15.3,83.3,11.5,1.6,14.6,,
Animal control workers,6,–,–,–,–,–,,
Private detectives and investigators,95,42.3,77.1,15.5,2.1,16.4,,
Security guards and gambling surveillance officers,844,26.8,57.5,33.3,3.8,18.4,,
Crossing guards and flaggers,51,52.6,70.4,23.4,3.7,6.9,,
Transportation security screeners,46,–,–,–,–,–,,
School bus monitors,28,–,–,–,–,–,,
Other protective service workers,117,38.0,83.7,3.9,3.3,9.8,,
Food preparation and serving related occupations,"7,370",54.6,74.6,13.4,6.3,27.8,,
Chefs and head cooks,402,22.8,63.0,14.8,19.9,23.0,,
First-line supervisors of food preparation and serving workers,480,61.2,71.6,19.9,4.2,21.2,,
Cooks,"1,905",40.2,72.9,15.8,6.0,35.9,,
Food preparation workers,872,58.3,74.2,14.0,5.6,29.3,,
Bartenders,362,57.4,85.8,4.9,2.0,19.9,,
Fast food and counter workers,775,65.7,75.2,13.0,5.7,23.3,,
Waiters and waitresses,"1,631",68.2,78.4,8.9,6.6,24.7,,
"Food servers, nonrestaurant",172,73.9,66.6,22.1,5.1,16.7,,
Dining room and cafeteria attendants and bartender helpers,243,46.8,76.6,14.0,4.1,33.0,,
Dishwashers,243,23.5,72.0,17.3,2.7,34.6,,
"Hosts and hostesses, restaurant, lounge, and coffee shop",282,84.3,77.1,9.7,5.8,22.4,,
"Food preparation and serving related workers, all other",2,–,–,–,–,–,,
Building and grounds cleaning and maintenance occupations,"5,482",41.7,78.0,14.2,3.4,38.3,,
First-line supervisors of housekeeping and janitorial workers,338,38.9,81.2,13.1,3.4,30.0,,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",233,10.3,88.6,6.6,1.0,27.0,,
Janitors and building cleaners,"2,113",39.7,73.8,18.1,3.5,31.5,,
Maids and housekeeping cleaners,"1,357",88.7,74.9,15.2,5.2,48.2,,
Pest control workers,119,5.0,81.5,10.0,2.5,19.5,,
Landscaping and groundskeeping workers,"1,211",6.2,84.9,9.2,1.8,47.1,,
Tree trimmers and pruners,98,2.2,86.3,9.0,1.3,19.9,,
Other grounds maintenance workers,13,–,–,–,–,–,,
Personal care and service occupations,"3,676",78.7,73.0,12.5,10.1,18.0,,
Supervisors of personal care and service workers,250,74.6,67.8,16.4,11.3,11.2,,
Animal trainers,54,68.3,89.8,8.0,0.0,6.9,,
Animal caretakers,272,81.6,85.8,4.7,4.6,13.3,,
Gambling services workers,66,50.8,55.8,9.7,29.1,12.4,,
"Ushers, lobby attendants, and ticket takers",29,–,–,–,–,–,,
Other entertainment attendants and related workers,192,45.6,79.2,10.3,4.1,13.7,,
"Embalmers, crematory operators, and funeral attendants",14,–,–,–,–,–,,
"Morticians, undertakers, and funeral arrangers",30,–,–,–,–,–,,
Barbers,103,24.7,68.0,22.5,5.2,40.5,,
"Hairdressers, hairstylists, and cosmetologists",713,92.4,79.0,12.8,6.1,17.7,,
Manicurists and pedicurists,247,83.0,19.6,4.8,73.1,12.2,,
Skincare specialists,90,98.2,73.2,8.8,8.4,13.8,,
Other personal appearance workers,26,–,–,–,–,–,,
"Baggage porters, bellhops, and concierges",84,28.0,62.4,17.4,9.6,20.7,,
Tour and travel guides,42,–,–,–,–,–,,
Childcare workers,974,94.6,77.6,14.0,4.4,24.4,,
Exercise trainers and group fitness instructors,223,62.2,79.7,11.9,2.8,16.9,,
Recreation workers,139,68.7,76.0,18.0,2.2,11.8,,
Residential advisors,26,–,–,–,–,–,,
"Personal care and service workers, all other",101,72.0,78.7,14.7,3.0,20.4,,
,,,,,,,,
Sales and office occupations,"30,166",61.5,77.9,13.2,5.1,17.2,,
Sales and related occupations,"14,369",49.8,79.7,11.2,5.4,16.7,,
First-line supervisors of retail sales workers,"3,058",47.0,79.5,10.3,6.2,15.1,,
First-line supervisors of non-retail sales workers,"1,184",32.9,83.8,7.2,5.5,12.2,,
Cashiers,"2,601",72.5,71.1,17.0,6.9,22.9,,
Counter and rental clerks,81,49.0,78.0,11.4,6.7,28.6,,
Parts salespersons,124,19.1,90.2,6.8,0.7,17.2,,
Retail salespersons,"2,750",48.5,78.3,13.0,4.8,20.8,,
Advertising sales agents,104,49.3,86.0,9.9,3.6,15.5,,
Insurance sales agents,600,50.0,81.5,11.8,4.1,16.5,,
"Securities, commodities, and financial services sales agents",243,29.3,79.9,6.6,11.7,10.2,,
Travel agents,56,71.4,86.8,6.9,4.7,11.5,,
"Sales representatives of services, except advertising, insurance, financial services, and travel",565,29.9,85.3,6.8,5.0,11.6,,
"Sales representatives, wholesale and manufacturing","1,216",30.1,88.1,6.2,3.3,12.0,,
"Models, demonstrators, and product promoters",30,–,–,–,–,–,,
Real estate brokers and sales agents,"1,170",59.7,84.8,8.3,4.4,12.1,,
Sales engineers,41,–,–,–,–,–,,
