Year,civilian_noninstitutional_pop,total_labor_force,total_labor_percent_pop,total_employed,employed_percent_pop,employed_agriculture,employed_nonagriculture,total_unemployed,unemployed_percent_labor_force,not_in_labor_force
1982,81523,62450,76.6,56271,69.0,2736,53534,6179,9.9,19073
1983,82531,63047,76.4,56787,68.8,2704,54083,6260,9.9,19484
1984,83605,63835,76.4,59091,70.7,2668,56423,4744,7.4,19771
1985,84469,64411,76.3,59891,70.9,2535,57356,4521,7.0,20058
1986,85798,65422,76.3,60892,71.0,2511,58381,4530,6.9,20376
1987,86899,66207,76.2,62107,71.5,2543,59564,4101,6.2,20692
1988,87857,66927,76.2,63273,72.0,2493,60780,3655,5.5,20930
1989,88762,67840,76.4,64315,72.5,2513,61802,3525,5.2,20923
1990,90377,69011,76.4,65104,72.0,2546,62559,3906,5.7,21367
1991,91278,69168,75.8,64223,70.4,2589,61634,4946,7.2,22110
1992,92270,69964,75.8,64440,69.8,2575,61866,5523,7.9,22306
1993,93332,70404,75.4,65349,70.0,2478,62871,5055,7.2,22927
1994,94355,70817,75.1,66450,70.4,2554,63896,4367,6.2,23538
1995,95178,71360,75.0,67377,70.8,2559,64818,3983,5.6,23818
1996,96206,72087,74.9,68207,70.9,2573,65634,3880,5.4,24119
1997,97715,73261,75.0,69685,71.3,2552,67133,3577,4.9,24454
1998,98758,73959,74.9,70693,71.6,2553,68140,3266,4.4,24799
1999,99722,74512,74.7,71446,71.6,2432,69014,3066,4.1,25210
2000,101964,76280,74.8,73305,71.9,1861,71444,2975,3.9,25684
2001,103282,76886,74.4,73196,70.9,1708,71488,3690,4.8,26396
2002,104585,77500,74.1,72903,69.7,1724,71179,4597,5.9,27085
2003,106435,78238,73.5,73332,68.9,1695,71636,4906,6.3,28197
2004,107710,78980,73.3,74524,69.2,1687,72838,4456,5.6,28730
2005,109151,80033,73.3,75973,69.6,1654,74319,4059,5.1,29119
2006,110605,81255,73.5,77502,70.1,1663,75838,3753,4.6,29350
2007,112173,82136,73.2,78254,69.8,1604,76650,3882,4.7,30036
2008,113113,82520,73.0,77486,68.5,1650,75836,5033,6.1,30593
2009,114136,82123,72.0,73670,64.5,1607,72062,8453,10.3,32013
2010,115174,81985,71.2,73359,63.7,1665,71694,8626,10.5,33189
2011,116317,81975,70.5,74290,63.9,1698,72592,7684,9.4,34343
2012,117343,82327,70.2,75555,64.4,1626,73930,6771,8.2,35017
2013,118555,82667,69.7,76353,64.4,1611,74742,6314,7.6,35889
2014,119748,82882,69.2,77692,64.9,1685,76007,5190,6.3,36865
2015,121101,83620,69.1,79131,65.3,1826,77305,4490,5.4,37481
2016,122497,84755,69.2,80568,65.8,1839,78729,4187,4.9,37743
2017,123275,85145,69.1,81402,66.0,1843,79559,3743,4.4,38130
2018,124678,86096,69.1,82698,66.3,1797,80902,3398,3.9,38582
2019,125353,86687,69.2,83460,66.6,1790,81670,3227,3.7,38667
2020,125922,85204,67.7,78560,62.4,1699,76862,6644,7.8,40718
2021,126487,85505,67.6,80829,63.9,1649,79180,4676,5.5,40983
2022,128617,87421,68.0,84203,65.5,1643,82560,3218,3.7,41197
