occupation_id,total_unemployed_2018,less_than_five_wks_2018,five_to_forteen_wks_2018,total_fifteen_wks_and_over_2018,fifteen_to_twenty_six_wks_2018,twenty_seven_wks_and_over_2018,avg_duration_wks_2018,median_duration_wks_2018
occ_1,6314,2170,1876,2268,917,1350,22.7,9.3
occ_2,602,203,188,211,85,126,23.4,9.2
occ_3,1346,443,393,509,197,312,24.5,9.8
occ_4,1353,506,400,447,191,257,21.5,8.5
occ_5,1337,430,402,505,190,315,23.9,9.9
occ_6,780,286,217,277,127,151,20.1,8.9
occ_7,881,298,273,310,126,185,21.6,9.3
occ_8,130,47,40,42,22,20,17.1,8.4
occ_9,27,9,6,12,7,5,–,–
occ_10,508,183,146,178,84,94,19.3,8.9
occ_11,523,158,166,199,78,121,24.2,10.2
occ_12,888,270,275,344,144,200,23.8,10.3
occ_13,257,88,70,99,34,64,23.7,9.7
occ_14,102,27,29,46,14,32,27.1,12.5
occ_15,223,68,67,89,34,54,24.4,10.5
occ_16,690,231,210,249,96,153,23.2,9.4
occ_17,881,321,255,305,124,182,21.4,8.6
occ_18,818,326,244,248,103,145,19.8,7.8
occ_19,231,87,64,80,32,48,23.7,8.6
occ_20,133,39,40,54,21,33,29,11.2
