occupation_id,total_unemployed,less_than_five_wks,five_to_forteen_wks,total_fifteen_wks_and_over,fifteen_to_twenty_six_wks,twenty_seven_wks_and_over,avg_duration_wks,median_duration_wks
occ_1,5996,2216,1711,2070,756,1314,22.6,8.7
occ_2,482,183,148,150,53,98,22.6,8.3
occ_3,1355,473,402,481,170,310,24.2,9
occ_4,530,170,159,201,74,128,25.9,9.9
occ_5,825,303,243,279,97,183,23.2,8.4
occ_6,1281,487,346,447,157,290,22.3,8.4
occ_7,1176,412,342,423,171,252,22.2,9.3
occ_8,579,211,163,205,82,123,22,9
occ_9,598,200,179,218,89,129,22.4,9.4
occ_10,658,277,176,205,73,132,19.9,7.3
occ_11,71,28,22,20,9,11,17.7,7.6
occ_12,477,206,126,144,52,93,19.6,6.8
occ_13,110,43,27,40,12,28,22.6,9
occ_14,1027,379,292,356,130,226,23.1,8.7
occ_15,332,127,92,112,41,72,22.8,8.6
occ_16,695,252,200,243,89,154,23.3,8.8
occ_17,89,31,29,28,13,16,18.4,8.7
occ_18,18,5,4,9,3,6,–,–
occ_19,474,203,129,142,49,92,19.3,7
occ_20,459,162,125,172,68,104,24,9.6
occ_21,283,96,79,108,42,66,25.8,9.8
occ_22,177,66,47,64,26,38,21.1,9.3
occ_23,806,279,232,295,118,177,22.7,9.2
occ_24,371,135,108,128,48,80,22.3,8.9
occ_25,81,26,25,30,11,19,23.7,9.7
occ_26,206,68,61,76,29,47,24.7,9.9
occ_27,683,238,212,234,84,149,22.5,9
occ_28,866,323,254,288,103,185,21.6,8.3
occ_29,789,317,221,251,94,157,20.8,7.7
occ_30,203,74,49,80,28,52,25.6,9.8
occ_31,127,40,36,50,16,34,23.9,9.8
