Year,civilian_noninstitutional_pop,total_labor_force,total_labor_percent_pop,total_employed,employed_percent_pop,employed_agriculture,employed_nonagriculture,total_unemployed,unemployed_percent_labor_force,not_in_labor_force
1982,90748,47755,52.6,43256,47.7,665,42591,4499,9.4,42993
1983,91684,48503,52.9,44047,48.0,680,43367,4457,9.2,43181
1984,92778,49709,53.6,45915,49.5,653,45262,3794,7.6,43068
1985,93736,51050,54.5,47259,50.4,644,46615,3791,7.4,42686
1986,94789,52413,55.3,48706,51.4,652,48054,3707,7.1,42376
1987,95853,53658,56.0,50334,52.5,666,49668,3324,6.2,42195
1988,96756,54742,56.6,51696,53.4,676,51020,3046,5.6,42014
1989,97630,56030,57.4,53027,54.3,687,52341,3003,5.4,41601
1990,98787,56829,57.5,53689,54.3,678,53011,3140,5.5,41957
1991,99646,57178,57.4,53496,53.7,680,52815,3683,6.4,42468
1992,100535,58141,57.8,54052,53.8,672,53380,4090,7.0,42394
1993,101506,58795,57.9,54910,54.1,637,54273,3885,6.6,42711
1994,102460,60239,58.8,56610,55.3,855,55755,3629,6.0,42221
1995,103406,60944,58.9,57523,55.6,881,56642,3421,5.6,42462
1996,104385,61857,59.3,58501,56.0,871,57630,3356,5.4,42528
1997,105418,63036,59.8,59873,56.8,847,59026,3162,5.0,42382
1998,106462,63714,59.8,60771,57.1,825,59945,2944,4.6,42748
1999,108031,64855,60.0,62042,57.4,849,61193,2814,4.3,43175
2000,110613,66303,59.9,63586,57.5,602,62983,2717,4.1,44310
2001,111811,66848,59.8,63737,57.0,591,63147,3111,4.7,44962
2002,112985,67363,59.6,63582,56.3,587,62995,3781,5.6,45621
2003,114733,68272,59.5,64404,56.1,580,63824,3868,5.7,46461
2004,115647,68421,59.2,64728,56.0,546,64182,3694,5.4,47225
2005,116931,69288,59.3,65757,56.2,544,65213,3531,5.1,47643
2006,118210,70173,59.4,66925,56.6,543,66382,3247,4.6,48037
2007,119694,70988,59.3,67792,56.6,490,67302,3196,4.5,48707
2008,120675,71767,59.5,67876,56.2,518,67358,3891,5.4,48908
2009,121665,72019,59.2,66208,54.4,496,65712,5811,8.1,49646
2010,122656,71904,58.6,65705,53.6,541,65164,6199,8.6,50752
2011,123300,71642,58.1,65579,53.2,556,65023,6063,8.5,51658
2012,125941,72648,57.7,66914,53.1,560,66353,5734,7.9,53293
2013,127124,72722,57.2,67577,53.2,519,67058,5146,7.1,54401
2014,128199,73039,57.0,68613,53.5,552,68061,4426,6.1,55159
2015,129700,73510,56.7,69703,53.7,597,69106,3807,5.2,56190
2016,131040,74432,56.8,70868,54.1,621,70247,3564,4.8,56608
2017,131804,75175,57.0,71936,54.6,611,71324,3239,4.3,56629
2018,133112,75978,57.1,73063,54.9,628,72435,2916,3.8,57134
2019,133822,76852,57.4,74078,55.4,635,73443,2774,3.6,56970
2020,134407,75538,56.2,69234,51.5,650,68585,6304,8.3,58869
2021,134958,75699,56.1,71752,53.2,642,71109,3948,5.2,59259
2022,135356,76866,56.8,74089,54.7,647,73441,2778,3.6,58490
